Name: Mikayla Schmidt    Email: mikaylakschmidt@gmail.com,,,,,,,,,,,,,,,,,,,
Column Name,Units,Description,,,,,,,,,,,,,,,,,
shellID,NA,"Unique identifier for each individual shell. The first number (1-5) refers to the experiment number, the second (1-3) to the replicate number, the third (1-11) refers to the taxon, and the fourth (1-6) to the set of samples it is grouped with.",,,,,,,,,,,,,,,,,
exptID,NA,Unique identifier for each experiment. The first letter refers to the type of study while the number refers to the individual experiment.,,,,,,,,,,,,,,,,,
taxon,NA,Scientific name of taxon of individual shell.,,,,,,,,,,,,,,,,,
source,NA,The bag from which each individual shell was sourced.,,,,,,,,,,,,,,,,,
pocket,NA,The pocket in which each shell was randomly placed. Varies from 1-11 to 1-5 based on the number of shells sampled.,,,,,,,,,,,,,,,,,
dateM1,yy/mm/dd then hour/minute,The date and time at which the experiment was started. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,
dateM2,yy/mm/dd then hour/minute,The date and time at which the experiment was finished. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,
mass1,milligrams,The mass of each individual measured before experimental treatment.,,,,,,,,,,,,,,,,,
mass2,milligrams,The mass of each individual measured after experimental treatment.,,,,,,,,,,,,,,,,,
shape,NA,Rough three-dimensional shape of the shell.,,,,,,,,,,,,,,,,,
xDim,millimeters,x axis dimension in mm,,,,,,,,,,,,,,,,,
yDim,millimeters,y axis dimension in mm,,,,,,,,,,,,,,,,,
zDim,millimeters,z axis dimension in mm,,,,,,,,,,,,,,,,,
calcSA1,millimeters squared,surface area as calculated in imageJ from image 1 of specimen,,,,,,,,,,,,,,,,,
calcSA2,millimeters squared,surface area as calculated in imageJ from image 2 of specimen,,,,,,,,,,,,,,,,,
polymorph,NA,type of calcium carbonate (Calcite or Aragonite),,,,,,,,,,,,,,,,,
mag,%,magnesium content percentage based on XRD findings,,,,,,,,,,,,,,,,,
seal,NA,"binary character indicating whether or not shell has concrete sealer (Y= Yes, N= No)",,,,,,,,,,,,,,,,,
notes,NA,notes on damaged/lost shells for exclusion,,,,,,,,,,,,,,,,,
exclude,NA,"column to indicate exclusion of shells for reasons denoted in 'notes' column. 0 = include, 1=exclude. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
shellID,exptID,taxon,source,pocket,dateM1,dateM2,mass1,mass2,shape,xDim,yDim,zDim,calcX1,calcX2,polymorph,mag,seal,notes ,exclude
2.1.1.1,2.1,Aragonite,,,,,1797.09,1766.83,,13.86,7.17,6.45,NA,NA,Aragonite,NA,N,,0
2.1.1.2,2.1,Aragonite,,,,,1189.3,1169.17,,10.48,5.4,7.18,NA,NA,Aragonite,NA,N,,0
2.1.1.3,2.1,Aragonite,,,,,979.3,968.13,,8.38,7.07,6.19,NA,NA,Aragonite,NA,N,,0
2.1.1.4,2.1,Aragonite,,,,,1202.35,1187.48,,10.04,5.82,7.23,NA,NA,Aragonite,NA,N,,0
2.1.1.5,2.1,Aragonite,,,,,1358.88,1339.4,,10.53,7.34,6.79,NA,NA,Aragonite,NA,N,,0
2.1.1.6,2.1,Aragonite,,,,,730.83,718.61,,7.07,5.06,7.39,NA,NA,Aragonite,NA,N,,0
2.1.2.1,2.1,Calcite,,,,,815.71,808.07,,9.07,6.29,6.17,NA,NA,Calcite,0.01,N,,0
2.1.2.2,2.1,Calcite,,,,,285,281.13,,9.98,7.34,1.57,NA,NA,Calcite,0.01,N,,0
2.1.2.3,2.1,Calcite,,,,,911.6,900.42,,13.6,7.1,3.66,NA,NA,Calcite,0.01,N,,0
2.1.2.4,2.1,Calcite,,,,,591.71,584.85,,9.43,6.7,4.05,NA,NA,Calcite,0.01,N,,0
2.1.2.5,2.1,Calcite,,,,,421.11,409.93,,8.72,5.75,3.59,NA,NA,Calcite,0.01,N,,0
2.1.2.6,2.1,Calcite,,,,,481.57,474.16,,8.28,6.78,3.14,NA,NA,Calcite,0.01,N,,0
2.1.3.1,2.1,Pecten,,,,,941.28,905.12,,20.07,18.27,1.5,23.919,23.478,Calcite,0.01,N,,0
2.1.3.2,2.1,Pecten,,,,,1041.39,1005.52,,22.4,20.29,0.97,22.69,25.004,Calcite,0.01,N,,0
2.1.3.3,2.1,Pecten,,,,,1115.93,1072.27,,21.48,19.93,1.1,25.066,24.117,Calcite,0.01,N,,0
2.1.3.4,2.1,Pecten,,,,,1432.07,1402.11,,21.72,19.95,1.42,25.09,24.121,Calcite,0.01,N,,0
2.1.3.5,2.1,Pecten,,,,,505.1,486.86,,20.84,11.1,0.99,23.926,23.737,Calcite,0.01,N,,0
2.1.3.6,2.1,Pecten,,,,,982.2,941.16,,21.4,16.22,1.2,23.546,24.268,Calcite,0.01,N,,0
2.1.3.7,2.1,Pecten,,,,,790.31,774.37,,19.58,15.59,1.02,NA,NA,Calcite,0.01,Y,bad,1
2.1.3.8,2.1,Pecten,,,,,699.06,686,,18.62,14.26,1.17,NA,NA,Calcite,0.01,Y,bad,1
2.1.3.9,2.1,Pecten,,,,,479.52,467.38,,17.05,11.01,1,NA,NA,Calcite,0.01,Y,bad,1
2.1.3.10,2.1,Pecten,,,,,1056.63,1039.55,,20.42,19.92,0.99,NA,NA,Calcite,0.01,Y,bad,1
2.1.3.11,2.1,Pecten,,,,,742.86,724.4,,21.64,12.02,1.33,NA,NA,Calcite,0.01,Y,bad,1
2.1.3.12,2.1,Pecten,,,,,891.85,870.74,,21.22,17.52,0.86,NA,NA,Calcite,0.01,Y,bad,1
2.1.4.1,2.1,Saccostrea,,,,,660.56,640.83,,12,12.5,2.67,NA,NA,Calcite,0,N,,0
